epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3575.23,1.3633,1.12061,1.20721,0.77254,0.58355,0.66982,0.43576,1.32475,1.05779,1.19107,0.005842,0.005842,0.005842
44,3658.32,1.3613,1.11475,1.20581,0.77176,0.58411,0.671,0.43706,1.3221,1.05567,1.19007,0.005743,0.005743,0.005743
45,3741.12,1.35208,1.10737,1.20294,0.75845,0.59062,0.67507,0.43934,1.31768,1.04635,1.18611,0.005644,0.005644,0.005644
46,3824.04,1.35179,1.09876,1.19856,0.76757,0.59878,0.68044,0.44169,1.31647,1.04315,1.18446,0.005545,0.005545,0.005545
47,3906.78,1.34932,1.09883,1.20085,0.76206,0.59636,0.68008,0.44267,1.31181,1.04148,1.18306,0.005446,0.005446,0.005446
48,3989.87,1.34362,1.08754,1.1943,0.76926,0.59451,0.68278,0.44394,1.31065,1.03862,1.18011,0.005347,0.005347,0.005347
49,4072.27,1.3413,1.09149,1.19486,0.77072,0.59676,0.6848,0.44599,1.30561,1.0309,1.17653,0.005248,0.005248,0.005248
50,4154.69,1.3381,1.08028,1.18982,0.77832,0.59487,0.68697,0.44721,1.30495,1.0299,1.17535,0.005149,0.005149,0.005149
51,4237.51,1.33194,1.07789,1.18981,0.77456,0.60269,0.68733,0.44779,1.3029,1.02665,1.17338,0.00505,0.00505,0.00505
52,4320.35,1.33238,1.07284,1.1878,0.77835,0.60098,0.6891,0.44935,1.30083,1.0214,1.17333,0.004951,0.004951,0.004951
53,4402.62,1.3281,1.06604,1.18483,0.76496,0.60937,0.69212,0.45202,1.29777,1.01756,1.17111,0.004852,0.004852,0.004852
54,4484.37,1.32131,1.05994,1.18151,0.77798,0.6039,0.69196,0.45253,1.29427,1.01767,1.16918,0.004753,0.004753,0.004753
55,4566.36,1.32077,1.05417,1.17977,0.78482,0.6027,0.6927,0.45424,1.29449,1.01344,1.167,0.004654,0.004654,0.004654
56,4648.64,1.32016,1.05494,1.18044,0.78298,0.60257,0.69345,0.45528,1.2906,1.00829,1.16378,0.004555,0.004555,0.004555
57,4730.47,1.31472,1.05069,1.17901,0.77592,0.60723,0.69495,0.45707,1.28668,1.0052,1.16271,0.004456,0.004456,0.004456
58,4812.65,1.31167,1.04218,1.17722,0.78119,0.60838,0.69555,0.45682,1.28413,1.00304,1.16206,0.004357,0.004357,0.004357
59,4894.9,1.31105,1.04505,1.175,0.77224,0.61423,0.69621,0.45796,1.28364,1.00186,1.16126,0.004258,0.004258,0.004258
60,4977.37,1.30786,1.03876,1.17192,0.7752,0.61347,0.698,0.45927,1.28201,0.99807,1.15964,0.004159,0.004159,0.004159
61,5059.45,1.3025,1.03256,1.17128,0.77287,0.61713,0.69997,0.45985,1.28109,0.99605,1.15771,0.00406,0.00406,0.00406
62,5141.81,1.29971,1.02799,1.16839,0.77129,0.61736,0.70186,0.46083,1.28094,0.99423,1.15766,0.003961,0.003961,0.003961
63,5224.33,1.29767,1.02899,1.16843,0.77583,0.61355,0.70237,0.46102,1.27891,0.99204,1.15628,0.003862,0.003862,0.003862
64,5306.32,1.29442,1.01869,1.16419,0.77385,0.61519,0.70242,0.46144,1.27695,0.9887,1.15541,0.003763,0.003763,0.003763
65,5388.2,1.29679,1.0181,1.16531,0.78537,0.61375,0.70356,0.4631,1.27448,0.98622,1.15395,0.003664,0.003664,0.003664
66,5470.45,1.28895,1.01072,1.16204,0.7737,0.6182,0.70528,0.46392,1.27271,0.98325,1.15289,0.003565,0.003565,0.003565
67,5553.29,1.28616,1.01181,1.16173,0.77151,0.61919,0.70607,0.465,1.2714,0.98174,1.15214,0.003466,0.003466,0.003466
68,5635.42,1.28379,1.00706,1.16004,0.77636,0.62035,0.70712,0.46579,1.27076,0.98083,1.15171,0.003367,0.003367,0.003367
69,5717.32,1.27935,1.00472,1.15706,0.77812,0.62209,0.70772,0.46687,1.26968,0.9798,1.15086,0.003268,0.003268,0.003268
70,5799.59,1.27866,1.00123,1.15763,0.78264,0.61788,0.70911,0.46709,1.26829,0.97741,1.1493,0.003169,0.003169,0.003169
71,5881.95,1.27496,0.9974,1.15301,0.7858,0.61832,0.70942,0.46768,1.26698,0.97536,1.1484,0.00307,0.00307,0.00307
72,5963.82,1.26964,0.99103,1.15138,0.78857,0.61894,0.70979,0.46767,1.26569,0.97418,1.14706,0.002971,0.002971,0.002971
73,6045.72,1.2702,0.98998,1.15122,0.79554,0.61621,0.71044,0.4678,1.26438,0.97248,1.1462,0.002872,0.002872,0.002872
74,6127.96,1.26761,0.9841,1.1483,0.78898,0.61952,0.71122,0.4679,1.26412,0.97073,1.14581,0.002773,0.002773,0.002773
75,6210.1,1.27003,0.98399,1.14993,0.7887,0.61869,0.71163,0.46848,1.26351,0.96955,1.14552,0.002674,0.002674,0.002674
76,6292.78,1.2661,0.97906,1.14906,0.78965,0.62013,0.71272,0.46862,1.2625,0.96779,1.14485,0.002575,0.002575,0.002575
77,6374.67,1.25923,0.97327,1.14438,0.79025,0.6207,0.71323,0.46903,1.26177,0.96657,1.14422,0.002476,0.002476,0.002476
78,6457.04,1.25847,0.97131,1.1455,0.78545,0.62477,0.71388,0.46981,1.26082,0.96458,1.1436,0.002377,0.002377,0.002377
79,6538.92,1.25334,0.96228,1.13957,0.78551,0.62406,0.71386,0.46995,1.26042,0.96346,1.14318,0.002278,0.002278,0.002278
80,6621.28,1.2549,0.96635,1.14379,0.78557,0.62451,0.71454,0.47048,1.25961,0.96244,1.14273,0.002179,0.002179,0.002179
81,6703.63,1.24645,0.96253,1.14059,0.78595,0.62651,0.71496,0.47067,1.25935,0.96174,1.14257,0.00208,0.00208,0.00208
82,6786.2,1.24713,0.95836,1.14115,0.78433,0.62627,0.71511,0.47069,1.25876,0.96091,1.14198,0.001981,0.001981,0.001981
83,6868.56,1.24766,0.95531,1.13871,0.78184,0.62701,0.71563,0.47145,1.2583,0.95982,1.14171,0.001882,0.001882,0.001882
84,6950.9,1.2449,0.95388,1.13817,0.78112,0.62653,0.71596,0.47165,1.25787,0.9591,1.1414,0.001783,0.001783,0.001783
85,7033.66,1.23922,0.94627,1.13348,0.77948,0.62882,0.71628,0.47209,1.25741,0.9587,1.14119,0.001684,0.001684,0.001684
86,7116.1,1.23831,0.94733,1.13345,0.77789,0.6281,0.7159,0.47204,1.25706,0.95797,1.14098,0.001585,0.001585,0.001585
87,7198.21,1.23639,0.93924,1.13073,0.7774,0.62906,0.71574,0.4723,1.25679,0.95717,1.14065,0.001486,0.001486,0.001486
88,7280.49,1.22962,0.93459,1.13011,0.77505,0.62895,0.71551,0.47248,1.25642,0.95636,1.14046,0.001387,0.001387,0.001387
89,7362.98,1.22937,0.93555,1.12991,0.77132,0.63283,0.71564,0.47253,1.25616,0.95559,1.14033,0.001288,0.001288,0.001288
90,7445.98,1.23085,0.93592,1.12897,0.77193,0.63323,0.71607,0.47288,1.25595,0.95523,1.1401,0.001189,0.001189,0.001189
91,7528.66,1.22812,0.93291,1.1277,0.7712,0.63461,0.71593,0.47342,1.25539,0.95482,1.13995,0.00109,0.00109,0.00109
92,7611.17,1.22506,0.9301,1.12748,0.77529,0.63123,0.71591,0.47373,1.25538,0.95434,1.13987,0.000991,0.000991,0.000991
93,7693.86,1.22351,0.92516,1.12431,0.77261,0.63364,0.7163,0.47391,1.25538,0.95351,1.13987,0.000892,0.000892,0.000892
94,7776.4,1.21733,0.92068,1.12411,0.77275,0.63424,0.71683,0.47416,1.25505,0.95276,1.13974,0.000793,0.000793,0.000793
95,7858.91,1.21642,0.91995,1.12313,0.77198,0.63511,0.71688,0.47422,1.25481,0.95223,1.13961,0.000694,0.000694,0.000694
96,7941.38,1.21516,0.91325,1.11938,0.7712,0.63664,0.71672,0.47427,1.25447,0.95167,1.13932,0.000595,0.000595,0.000595
97,8024.13,1.2081,0.91108,1.11852,0.77258,0.63589,0.71703,0.47426,1.25444,0.95126,1.13921,0.000496,0.000496,0.000496
98,8106.73,1.20915,0.90855,1.11943,0.77324,0.63641,0.71718,0.47451,1.2544,0.95071,1.13932,0.000397,0.000397,0.000397
99,8189.74,1.20765,0.90788,1.11866,0.7752,0.63547,0.71695,0.47456,1.25422,0.95039,1.13925,0.000298,0.000298,0.000298
100,8273,1.20762,0.90679,1.11716,0.77637,0.63448,0.71712,0.47466,1.25397,0.95002,1.13911,0.000199,0.000199,0.000199
